	Family	Genus	Sample	Nuccore_id	CP_accession	Nano_CP_Nuccore_ids
AMH87724.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391383	AMH87722.1	
ASH99148.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149477	ASH99146.1	
AGU67661.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 5	537367990	AGU67660.1	
ANC51598.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 16	1025711720	ANC51596.1	
ASH99172.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149509	ASH99170.1	
ANC51570.1	Genomoviridae	Gemycircularvirus	Sewage associated gemycircularvirus 3	1025711684	ANC51569.1	
AGU67657.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 7	537367984	AGU67656.1	
AFS65312.1	Genomoviridae	Gemycircularvirus	Dragonfly-associated circular virus 2	406870768	AFS65309.1	
AMH87682.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-5	992391327	AMH87680.1	
AMH87714.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391371	AMH87713.1	
ANN22656.1	Genomoviridae	Gemycircularvirus	Gemycircularvirus HV-GcV1	1039699134	ANN22654.1	
AMH87702.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-10	992391355	AMH87701.1	
AIF34835.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-7a	664651428	AIF34833.1	
AOI28251.1	Genomoviridae	Gemycircularvirus	Common bean-associated gemycircularvirus	1061489725	AOI28249.1	
AMH87667.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-2	992391307	AMH87665.1	
AMH87693.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-8	992391343	AMH87692.1	
AMH87672.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-3	992391315	AMH87671.1	
AIF34840.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 9	664651436	AIF34839.1	
AMH87709.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-14	992391363	AMH87707.1	
ANC51609.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 22	1025711736	ANC51608.1	
AIF34834.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-7a	664651428	AIF34833.1	
ALC76164.1	Genomoviridae	Gemycircularvirus	Poaceae-associated gemycircularvirus 1	924863646	ALC76162.1	
AMH87727.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391387	AMH87725.1	
AIF34843.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-7b	664651440	AIF34842.1	
AIF34832.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 6	664651425	AIF34831.1	
APR73482.1	Genomoviridae	Gemycircularvirus	Chicken stool-associated gemycircularvirus	1127293479	APR73483.1	
AIF34838.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 8	664651432	AIF34836.1	
AJD07460.1	Genomoviridae	Gemycircularvirus	Odonata associated gemycircularvirus-1	744824927	AJD07459.1	
AGU67659.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 6	537367987	AGU67658.1	
AGU67667.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 2	537367999	AGU67666.1	
ANC51610.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 22	1025711736	ANC51608.1	
ASH99178.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149517	ASH99176.1	
ASM93485.1	Genomoviridae	Gemycircularvirus	Lupine feces-associated gemycircularvirus 2	1219676140	ASM93484.1	
ANC51595.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 18	1025711716	ANC51593.1	
AIF34858.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-10b	664651460	AIF34857.1	
AGU67665.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 3	537367996	AGU67664.1	
ANC51571.1	Genomoviridae	Gemycircularvirus	Sewage associated gemycircularvirus 3	1025711684	ANC51569.1	
ALC76163.1	Genomoviridae	Gemycircularvirus	Poaceae-associated gemycircularvirus 1	924863646	ALC76162.1	
ANC51582.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 20	1025711700	ANC51581.1	
AMH87733.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-13	992391395	AMH87731.1	
ANC51579.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 20	1025711696	ANC51578.1	
AGS12486.1	Genomoviridae	Gemycircularvirus	Hypericum japonicum associated circular DNA virus	527290455	AGS12482.1	
AGU67663.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 4	537367993	AGU67662.1	
AMH87723.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391383	AMH87722.1	
ASH99175.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149513	ASH99173.1	
AFS65310.1	Genomoviridae	Gemycircularvirus	Dragonfly-associated circular virus 2	406870768	AFS65309.1	
AMH87694.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-8	992391343	AMH87692.1	
ASH99145.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149473	ASH99143.1	
AMH87666.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-2	992391307	AMH87665.1	
AKA58510.1	Genomoviridae	Gemycircularvirus	Mongoose feces-associated gemycircularvirus a	794463022	AKA58511.1	
ASM93483.1	Genomoviridae	Gemycircularvirus	Canine feces-associated gemycircularvirus	1219676137	ASM93482.1	
AMH87676.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-4	992391319	AMH87674.1	
AMH87679.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-4	992391323	AMH87677.1	
ASH99169.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149505	ASH99167.1	
ASH99139.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149465	ASH99137.1	
AIF34837.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 8	664651432	AIF34836.1	
ANC51580.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 20	1025711696	ANC51578.1	
AMH87726.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391387	AMH87725.1	
ANC51585.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 21	1025711704	ANC51584.1	
ASH99154.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149485	ASH99152.1	
AFH54230.1	Genomoviridae	Gemycircularvirus	Cassava associated gemycircularvirus 1	383846524	AFH54229.1	
AIF34855.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-10a	664651456	AIF34856.1	
AMH87681.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-5	992391327	AMH87680.1	
ANC51576.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 17	1025711692	ANC51575.1	
AMH87700.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-9	992391351	AMH87698.1	
AMH87732.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-13	992391395	AMH87731.1	
AMH87708.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-14	992391363	AMH87707.1	
ANC51606.1	Genomoviridae	Gemycircularvirus	Sewage associated gemycircularvirus 3	1025711732	ANC51605.1	
ASH99142.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149469	ASH99140.1	
ASH99163.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149497	ASH99161.1	
AKU89610.1	Genomoviridae	Gemycircularvirus	Poecile atricapillus GI tract-associated gemycircularvirus	913606815	AKU89609.1	
AMH87703.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-10	992391355	AMH87701.1	
AJD07465.1	Genomoviridae	Gemycircularvirus	Odonata associated gemycircularvirus-2	744824936	AJD07466.1	
AMH87712.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391367	AMH87710.1	
AMH87670.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-2	992391311	AMH87668.1	
ANC51603.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 16	1025711728	ANC51602.1	
ANC51600.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 19	1025711724	ANC51599.1	
AEW87508.1	Genomoviridae	Gemygorvirus	Meles meles fecal virus	365735143	AEW87507.1	
AGU67651.1	Genomoviridae	Gemygorvirus	Faeces associated gemycircularvirus 10	537367975	AGU67650.1	
AHX37573.2	Genomoviridae	Gemygorvirus	Human genital-associated circular DNA virus-1	614458383	AHX37575.1	
AHX37574.1	Genomoviridae	Gemygorvirus	Human genital-associated circular DNA virus-1	614458383	AHX37575.1	
AIF34829.1	Genomoviridae	Gemygorvirus	Sewage-associated gemycircularvirus 5	664651421	AIF34828.1	
AIF34830.1	Genomoviridae	Gemygorvirus	Sewage-associated gemycircularvirus 5	664651421	AIF34828.1	
AMH87660.1	Genomoviridae	Gemygorvirus	Pacific flying fox faeces associated gemycircularvirus-1	992391299	AMH87659.1	
AMH87661.1	Genomoviridae	Gemygorvirus	Pacific flying fox faeces associated gemycircularvirus-1	992391299	AMH87659.1	
ANC51564.1	Genomoviridae	Gemygorvirus	Faeces associated gemycircularvirus 14	1025711676	ANC51563.1	
ANC51565.1	Genomoviridae	Gemygorvirus	Faeces associated gemycircularvirus 14	1025711676	ANC51563.1	
ANC51612.1	Genomoviridae	Gemygorvirus	Faeces associated gemycircularvirus 15	1025711740	ANC51611.1	
ANC51613.1	Genomoviridae	Gemygorvirus	Faeces associated gemycircularvirus 15	1025711740	ANC51611.1	
AGU67653.1	Genomoviridae	Gemykibivirus	Blackbird associated gemykibivirus 1	537367978	AGU67652.1	
AGU67655.1	Genomoviridae	Gemykibivirus	Black robin associated gemykibivirus 1	537367981	AGU67654.1	
AIF34849.1	Genomoviridae	Gemykibivirus	Sewage-associated gemycircularvirus 2	664651448	AIF34848.1	
AIF34850.1	Genomoviridae	Gemykibivirus	Sewage-associated gemycircularvirus 2	664651448	AIF34848.1	
AIF34852.1	Genomoviridae	Gemykibivirus	Sewage-associated gemycircularvirus 3	664651452	AIF34851.1	
AIF34853.1	Genomoviridae	Gemykibivirus	Sewage-associated gemycircularvirus 3	664651452	AIF34851.1	
AJD20385.1	Genomoviridae	Gemykibivirus	Gemycircularvirus SL1	745699244	AJD20384.1	
AKA58509.1	Genomoviridae	Gemykibivirus	Badger associated gemykibivirus 1	794463018	AKA58508.1	
AKA58513.1	Genomoviridae	Gemykibivirus	Mongoose feces-associated gemycircularvirus b	794463026	AKA58512.1	
AMD08882.1	Genomoviridae	Gemykibivirus	Human gemycircularvirus GeTz1	985484376	AMD08881.1	
AMH87729.1	Genomoviridae	Gemykibivirus	Pacific flying fox faeces associated gemycircularvirus-12	992391391	AMH87728.1	
AMH87730.1	Genomoviridae	Gemykibivirus	Pacific flying fox faeces associated gemycircularvirus-12	992391391	AMH87728.1	
ANN22659.1	Genomoviridae	Gemykibivirus	Gemycircularvirus HV-GcV2	1039699139	ANN22658.1	
CDS63383.1	Genomoviridae	Gemykibivirus	HCBI8.215 virus	669032605	CDS63382.1	
CDS63384.1	Genomoviridae	Gemykibivirus	HCBI8.215 virus	669032605	CDS63382.1	
CDS63389.1	Genomoviridae	Gemykibivirus	MSSI2.225 virus	669032613	CDS63388.1	
CDS63390.1	Genomoviridae	Gemykibivirus	MSSI2.225 virus	669032613	CDS63388.1	
AAA51429.1	Nanoviridae	Babuvirus	Banana bunchy top virus	520791	AAA51427.1	
AAA61876.1	Nanoviridae	Babuvirus	Banana bunchy top virus	642390	AAA61875.1	
ACZ59103.1	Nanoviridae	Babuvirus	Banana bunchy top virus	270055651	ABP96957.1	145845923
ALI57173.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548634	ABP96962.1	145845934
AKO71421.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806232	ACN79534.1	225030866
ALA65732.1	Nanoviridae	Babuvirus	Banana bunchy top virus	922670530	AKO71195.1	859805174
ALI57182.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548652	AAF78038.1	8575530
ALI57198.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548684	AGI99515.1	478434534
ALI57194.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548676	ASV46570.1	1236613818
ADR52992.1	Nanoviridae	Babuvirus	Banana bunchy top virus	313485024	AEL32436.1	342720519
ADZ99009.1	Nanoviridae	Babuvirus	Banana bunchy top virus	326632010	AKO71288.1	859805579
AKO71300.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805692	AKO71173.1	859805085
AKO71296.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805674	AKO71234.1	859805329
AKO71308.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805728	ACV30230.1	256808097
ANV20584.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1045809816	AKO71238.1	859805340
AEV41139.1	Nanoviridae	Babuvirus	Banana bunchy top virus	359359243	ADO85414.1	309752883
ACH99203.1	Nanoviridae	Babuvirus	Banana bunchy top virus	204304707	ALI57228.1	937548744
AKO71394.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806107	CAL90982.1	158935060
BAO52865.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589908001	AKO71190.1	859805155
ADO85419.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752893	AKO71254.1	859805418
AAL89638.1	Nanoviridae	Babuvirus	Banana bunchy top virus	19525666	ADO85404.1	309752863
AKO71413.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806194	AKO71222.1	859805286
BAO52866.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589908003	AEL32435.1	342720517
AOC83944.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1052467827	AKO71269.1	859805490
AKO71368.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805983	AKO71249.1	859805401
ASU43921.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055066	ALI57217.1	937548722
ADO85409.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752873	ACZ59091.1	270055627
AKO71419.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806223	AKO71279.1	859805539
AKO71377.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806021	AAK15066.1	13183128
AAK15065.1	Nanoviridae	Babuvirus	Banana bunchy top virus	13183126	AKO71221.1	859805273
BAO52840.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907951	AAK15067.1	13183130
AKO71321.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805781	AKO71161.1	859805032
ALI57192.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548672	ALI57219.1	937548726
AKO71397.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806120	AEF13037.1	333036015
AKO71322.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805786	ASV46566.1	1236613666
BAC97824.1	Nanoviridae	Babuvirus	Banana bunchy top virus	37196806	AAD53058.1	5823157
AKO71305.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805714	AKO71275.1	859805513
AEL32453.1	Nanoviridae	Babuvirus	Banana bunchy top virus	342721565	AKO71162.1	859805036
AKO71304.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805709	ALI57224.1	937548736
AOC83943.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1052467825	ASU43932.1	1233055090
ALA65733.1	Nanoviridae	Babuvirus	Banana bunchy top virus	922670532	ACF24825.1	193876421
BAO52810.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907891	AEV53368.1	359500359
ASU43926.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055077	AKO71255.1	859805433
AAL15847.1	Nanoviridae	Babuvirus	Banana bunchy top virus	16225263	ACT36296.1	253825940
AKO71416.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806209	AKO71215.1	859805253
AKO71352.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805920	AKO71198.1	859805187
ALI57168.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548624	ALI57199.1	937548686
AAZ07720.2	Nanoviridae	Babuvirus	Banana bunchy top virus	119951963	ABY84647.1	166203212
CAL90978.1	Nanoviridae	Babuvirus	Banana bunchy top virus	158935052	AEL32439.1	342720525
ALI57169.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548626	AKO71180.1	859805113
AAD09275.1	Nanoviridae	Babuvirus	Banana bunchy top virus	4100388	ACV30231.1	256808099
ACD62524.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529650	ABY61231.1	164597801
AKO71303.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805704	ASU43922.1	1233055068
BAD83665.1	Nanoviridae	Babuvirus	Banana bunchy top virus	57157356	AKO71166.1	859805054
ABG38472.1	Nanoviridae	Babuvirus	Banana bunchy top virus	109693428	ADO85418.1	309752891
AAL15844.1	Nanoviridae	Babuvirus	Banana bunchy top virus	16225254	ABH03037.1	110951324
ALI57175.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548638	AKO71168.1	859805064
AKO71369.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805986	AKO71159.1	859805023
BAO52816.1	Nanoviridae	Babuvirus	Banana bunchy top virus	589907903	ADO85406.1	309752867
ALI57170.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548628	AAQ01659.1	33286085
AKO71420.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806227	AKO71179.1	859805108
ALA65730.1	Nanoviridae	Babuvirus	Banana bunchy top virus	922670526	AKO71262.1	859805453
AAF78039.1	Nanoviridae	Babuvirus	Banana bunchy top virus	8575532	AAD53060.1	5823161
ALI57176.1	Nanoviridae	Babuvirus	Banana bunchy top virus	937548640	AAL57032.1	18033186
AAL89637.1	Nanoviridae	Babuvirus	Banana bunchy top virus	19525664	AKO71175.1	859805093
ADO85421.1	Nanoviridae	Babuvirus	Banana bunchy top virus	309752897	NP_604477.1	19744927
ACD62522.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529646	AAD53056.1	5823153
ACT87569.1	Nanoviridae	Babuvirus	Banana bunchy top virus	254933847	AKO71274.1	859805510
ACD62523.1	Nanoviridae	Babuvirus	Banana bunchy top virus	188529648	AEF13041.1	333036023
ASU43931.1	Nanoviridae	Babuvirus	Banana bunchy top virus	1233055088	BAO52956.1	589908339
AKO71297.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805678	BAG69618.1	197690787
AKO71427.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806258	AON96269.1	1063194524
AAF21928.1	Nanoviridae	Babuvirus	Banana bunchy top virus	6650595	ACM51143.2	222433596
AKO71298.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805682	ALI57207.1	937548702
AKO71332.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805828	AKO71241.1	859805347
AEL32443.1	Nanoviridae	Babuvirus	Banana bunchy top virus	342720545	AKO71182.1	859805121
AFH68181.1	Nanoviridae	Babuvirus	Banana bunchy top virus	384157440	ALI57203.1	937548694
AKO71340.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859805863	AAA61875.1	642390
AKO71402.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806142	ADO85405.1	309752865
AKO71406.1	Nanoviridae	Babuvirus	Banana bunchy top virus	859806163	AKO71176.1	859805097
AHF47645.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794594	AHF47856.1	571795183
AHF47692.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794688	AHF47912.1	571795295
AHF47653.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794610	AHF47864.1	571795199
AHF47741.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794786	AHF47904.1	571795279
AHF47654.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794612	AHF47902.1	571795275
AHF47749.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794802	AHF47828.1	571795127
AHF47781.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794866	AHF47809.1	571795088
AHF47701.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794706	AHF47831.1	571795133
AHF47644.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794592	AHF47919.1	571795309
AHF47657.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794618	AHF47958.1	571795387
AHF47793.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794890	AGG38925.1	458598743
AGG38934.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	458598884	AHF47881.1	571795233
AHF47663.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794630	AHF47874.1	571795219
AHF47650.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794604	AHF47910.1	571795291
AHF47775.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794854	AHF47886.1	571795243
AHF47682.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794668	AHF47909.1	571795289
AHF47790.1	Nanoviridae	Babuvirus	Cardamom bushy dwarf virus	571794884	AHF47849.1	571795169
AHC72177.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316302	AHC72168.1	567316284
AHC72186.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316320	AHC72178.1	567316304
AHC72167.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316282	AHC72187.1	567316322
AHC72210.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316368	ACU00022.1	255040426
AHC72220.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316388	ACX50514.1	260779817
ACX50511.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	260779811	AHC72195.1	567316338
AHC72202.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316352	AHC72221.1	567316390
AHC72194.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316336	CAG77491.1	283482205
AHC72255.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316458	ACT79058.1	254681731
ASL05579.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708488	ACX50506.1	260779801
AHC72237.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316422	AHC72229.1	567316406
AHC72247.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316442	AHC72238.1	567316424
ASL05580.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708490	ASL05604.1	1215708538
CAB44020.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	4995157	ASL05609.1	1215708548
ASL05582.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708494	CAA72212.1	2239100
ASL05577.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708484	CAM35487.1	126153658
CCF86304.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	379991322	CAM35488.1	126153660
AHC72228.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316404	CCF86305.1	379991324
CCF74113.1	Nanoviridae	Nanovirus	Faba bean yellow leaf virus	409262944	CCF74114.1	409263268
BAU21082.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	971823439	AQX56697.1	1154267217
AQX56698.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1154267219	AQX56707.1	1154267237
ASM62219.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1218188519	BAA34047.1	3798735
BAV00134.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1027812692	BAB78734.1	17425157
BAA97561.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	8918249	BAU21081.1	971823437
AHC72271.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	567316490	AFK65511.1	388542155
ADE87486.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	294478919	AHC72272.1	567316492
ARK36668.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	1186228451	ARK36669.1	1186228453
ARK36676.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	1186228467	ARK36677.1	1186228469
AHC72281.1	Nanoviridae	Nanovirus	Pea yellow stunt virus	567316511	AHC72282.1	567316513
AJE25845	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191552	AJE25844	
AJE25847	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191555	AJE25846	
AJE25849	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191558	AJE25848	
AJE25851	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191561	AJE25850	
AJE25853	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191564	AJE25852	
AJE25855	Smacoviridae	Huchismacovirus	Human smacovirus 1	747191567	AJE25854	
AJF23052	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502754	AJF23051	
AJF23054	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502757	AJF23053	
AJF23056	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502760	AJF23055	
AJF23058	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502763	AJF23057	
AJF23060	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502766	AJF23059	
AJF23062	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502769	AJF23061	
AJF23064	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502772	AJF23063	
AJF23066	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502775	AJF23065	
AJF23070	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502781	AJF23069	
AJF23074	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502787	AJF23073	
AJF23076	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502790	AJF23075	
AJF23077	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502793	AJF23078	
AJF23080	Smacoviridae	Huchismacovirus	Human smacovirus 1	749502796	AJF23079	
ANC51534	Smacoviridae	Huchismacovirus	Bovine faeces associated smacovirus 1	1025711631	ANC51533	
ANC51545	Smacoviridae	Huchismacovirus	Bovine faeces associated smacovirus 6	1025711649	ANC51546	
APR73541	Smacoviridae	Huchismacovirus	Chicken associated smacovirus	1127293592	APR73542	
APR73543	Smacoviridae	Huchismacovirus	Chicken associated smacovirus	1127293595	APR73544	
APR73545	Smacoviridae	Huchismacovirus	Chicken associated smacovirus	1127293598	APR73546	
APR73547	Smacoviridae	Huchismacovirus	Chicken associated smacovirus	1127293601	APR73548	
AHF54685	Smacoviridae	Porprismacovirus	Turkey stool associated circular ssDNA virus	572921633	AHF54686	
AIK28870	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 7	673539332	AIK28869	
AIK28878	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 9	673539344	AIK28877	
AIK28880	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 8	673539347	AIK28879	
